region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,description_length,posting_year,posting_month,car_age,odometer_per_year,is_high_mileage,manufacturer_frequency
tucson,16990,2011.0,rover,Other,Unknown,Unknown,other,92775.0,clean,automatic,4wd,Unknown,Unknown,Unknown,az,32.24951,-110.972417,8949,2021.0,4.0,10.0,9277.5,0,0.00595
SF bay area,8250,1995.0,ford,Other,Unknown,Unknown,gas,120000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,37.7015,-122.0782,245,2021.0,5.0,26.0,4615.384615384615,0,0.1533
redding,31990,2017.0,ram,Other,good,8 cylinders,gas,15498.0,clean,other,4wd,Unknown,pickup,silver,ca,33.779214,-84.411811,4551,2021.0,5.0,4.0,3874.5,0,0.0382
san diego,7900,2011.0,honda,civic,excellent,4 cylinders,gas,90000.0,clean,automatic,Unknown,Unknown,sedan,black,ca,32.724,-116.9976,365,2021.0,5.0,10.0,9000.0,0,0.0545
san diego,28999,2014.0,ram,1500,Unknown,Unknown,other,60747.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,33.131735,-117.085957,7641,2021.0,5.0,7.0,8678.142857142857,0,0.0382
Other,43275,2018.0,gmc,sierra 1500,Unknown,8 cylinders,gas,62892.0,clean,automatic,4wd,full-size,truck,black,ga,,,8089,2021.0,4.0,3.0,20964.0,0,0.0319
palm springs,14899,2010.0,mercedes-benz,Other,excellent,6 cylinders,gas,82000.0,clean,automatic,Unknown,Unknown,coupe,Unknown,ca,33.743904,-116.359028,6382,2021.0,4.0,11.0,7454.545454545455,0,0.03715
little rock,17600,2014.0,ford,Other,excellent,4 cylinders,gas,45026.0,clean,automatic,fwd,full-size,van,white,ar,36.4641,-86.65828,957,2021.0,4.0,7.0,6432.285714285715,0,0.1533
modesto,4500,1997.0,gmc,Other,fair,8 cylinders,gas,217000.0,clean,automatic,rwd,full-size,truck,white,ca,37.5098,-120.8549,78,2021.0,4.0,24.0,9041.666666666666,1,0.0319
ocala,23900,2013.0,ram,1500,Unknown,Unknown,gas,144000.0,clean,automatic,4wd,Unknown,pickup,black,fl,29.23086,-82.14915,3230,2021.0,4.0,8.0,18000.0,0,0.0382
jacksonville,7500,2015.0,nissan,altima,good,Unknown,gas,141000.0,clean,automatic,Unknown,full-size,Unknown,grey,fl,30.2908,-81.6321,154,2021.0,4.0,6.0,23500.0,0,0.04915
Other,34590,2018.0,ford,Other,good,6 cylinders,gas,20856.0,clean,other,Unknown,Unknown,pickup,white,fl,29.67,-82.33,4946,2021.0,4.0,3.0,6952.0,0,0.1533
tucson,25990,2020.0,ford,Other,good,Unknown,other,109.0,clean,other,fwd,Unknown,van,white,az,32.21,-110.96,4017,2021.0,4.0,1.0,109.0,0,0.1533
ocala,35800,2019.0,gmc,Other,like new,8 cylinders,gas,101928.0,clean,automatic,4wd,full-size,truck,blue,fl,29.0266,-81.3349,343,2021.0,4.0,2.0,50964.0,0,0.0319
bakersfield,29990,2020.0,buick,Other,good,Unknown,gas,33.0,clean,other,Unknown,Unknown,SUV,Unknown,ca,35.38,-119.02,3951,2021.0,4.0,1.0,33.0,0,0.00855
santa barbara,38590,2015.0,mercedes-benz,Other,good,8 cylinders,gas,83595.0,clean,other,Unknown,Unknown,sedan,Unknown,ca,33.779214,-84.411811,5083,2021.0,4.0,6.0,13932.5,0,0.03715
santa barbara,25990,2014.0,bmw,Other,good,Unknown,other,61419.0,clean,other,rwd,Unknown,other,black,ca,33.779214,-84.411811,4519,2021.0,5.0,7.0,8774.142857142857,0,0.0387
western slope,38900,2017.0,ford,Other,Unknown,6 cylinders,gas,57337.0,clean,automatic,4wd,Unknown,pickup,blue,co,39.181876,-108.577721,2017,2021.0,4.0,4.0,14334.25,0,0.1533
Other,5500,2000.0,ford,Other,good,8 cylinders,diesel,485000.0,clean,automatic,4wd,full-size,truck,white,ca,40.9465,-124.0834,781,2021.0,4.0,21.0,23095.238095238095,1,0.1533
ventura county,6200,2006.0,honda,Other,excellent,4 cylinders,gas,129000.0,clean,automatic,fwd,Unknown,coupe,blue,ca,34.3308,-119.3584,307,2021.0,4.0,15.0,8600.0,0,0.0545
denver,11999,2011.0,subaru,Other,Unknown,4 cylinders,gas,153894.0,clean,automatic,4wd,Unknown,sedan,Unknown,co,40.182151,-105.102373,10372,2021.0,5.0,10.0,15389.4,1,0.0224
